tweet_id,replies_count,retweets_count,likes_count,target,label,confidence_score
1397438603425316864,0,0,2,1,mild,0.674
1397568189031145472,0,0,0,0,non-depressed,0.69
1397834628866711552,2,0,4,0,non-depressed,1
1397842539701366784,0,0,0,3,severe,0.659
1398147952246288384,1,0,0,3,severe,0.659
1398268365051863040,1,0,0,2,moderate,0.69
1398304540055777280,0,0,2,1,mild,1
1398749399182987264,0,0,0,1,mild,0.663
1399370165293301504,0,0,0,0,non-depressed,1
1399453170108186624,0,0,0,0,non-depressed,1
1399700406133936128,1,0,2,0,non-depressed,0.667
1400137265368776704,2,0,1,2,moderate,0.663
1400421157942317056,1,0,2,0,non-depressed,1
1400465977687515136,0,0,4,1,mild,0.674
1400505638833250304,1,0,1,2,moderate,0.663
1400820589649137664,0,0,0,1,mild,1
1401350119560199936,0,0,0,0,non-depressed,0.663
1401373780476321536,0,0,0,0,non-depressed,1
1401391563536748288,0,0,0,1,mild,0.667
1401511093017755648,2,0,1,1,mild,1
1401686867641344000,1,0,0,0,non-depressed,0.667
1401833495014608896,0,0,1,0,non-depressed,1
1401973284602715904,0,1,1,2,moderate,0.686
1402680637060964352,3,8,28,0,non-depressed,0.69
1402799096365154304,0,0,0,1,mild,0.67
1403014632088866816,0,0,1,0,non-depressed,0.667
1403528206896930816,0,0,4,2,moderate,0.663
1403916925520908288,0,0,0,0,non-depressed,1
1404418112171118336,1,0,0,0,non-depressed,0.667
1404775179520143104,1,0,1,0,non-depressed,1
1405183238772043520,4,1,18,0,non-depressed,1
1405254585808195584,0,0,0,0,non-depressed,1
1405659843491467264,0,0,2,0,non-depressed,0.655
1405682474638884864,0,0,0,1,mild,1
1405939903234338816,0,0,0,0,non-depressed,0.663
1406833423918911488,0,0,3,0,non-depressed,0.674
1406999936420487168,1,0,1,0,non-depressed,1
1407026988364206080,0,0,0,0,non-depressed,1
1407100415007592448,0,0,0,2,moderate,0.663
1407256749300760320,0,0,0,1,mild,0.663
1407380613137678336,0,0,2,1,mild,0.659
1408084501985644288,0,0,0,0,non-depressed,1
1408162421257220096,1,0,2,0,non-depressed,1
1408195183884136448,0,0,0,3,severe,0.651
1409350891040391168,0,0,2,2,moderate,0.675
1409762040080601088,1,0,1,0,non-depressed,1
1410247656396529664,1,13,138,0,non-depressed,1
1410744985578733568,1,1,7,0,non-depressed,0.67
1410984898698035200,1,0,0,3,severe,0.671
1411737102316752896,0,0,1,0,non-depressed,1
1411898851032809472,1,0,3,2,moderate,0.667
1412361746833157888,0,0,1,2,moderate,0.67
1412377214058782720,1,0,1,0,non-depressed,0.663
1412702080159080448,0,0,0,2,moderate,0.651
1412730505158594304,2,3,14,0,non-depressed,1
1412831447178645504,1,0,1,0,non-depressed,0.667
1412849306139303936,1,0,1,0,non-depressed,0.67
1412866572033658880,0,0,2,0,non-depressed,0.667
1413955406838251520,1,0,32,0,non-depressed,0.674
1413985986812469248,0,0,3,0,non-depressed,1
1414250446986829824,0,0,0,2,moderate,0.659
1414255944775647232,0,0,1,1,mild,0.682
1414257708530688000,0,0,0,2,moderate,0.67
1414637723227496448,0,0,3,0,non-depressed,1
1414862234790944768,1,0,1,1,mild,0.674
1415040912024035328,0,0,1,0,non-depressed,0.651
1415049502935949312,1,0,1,1,mild,0.655
1415336314304663552,1,0,0,0,non-depressed,1
1415710044998574080,0,0,0,2,moderate,0.667
1415755340696768512,0,0,0,1,mild,0.647
1415993362440761088,0,0,1,0,non-depressed,1
1416091218748968704,0,0,1,0,non-depressed,1
1416125315772989440,0,0,2,0,non-depressed,0.667
1416139654827491328,0,0,0,0,non-depressed,1
1416387340809949184,1,0,0,1,mild,0.667
1416449971885379584,0,0,0,0,non-depressed,0.659
1417105387984146432,0,0,1,0,non-depressed,1
1417145819187367936,0,0,0,0,non-depressed,1
1417161188555829248,0,0,0,0,non-depressed,1
1417745173505773568,1,0,0,1,mild,0.67
1417912452780634112,1,0,1,0,non-depressed,1
1418177476237332480,1,0,0,0,non-depressed,0.674
1418449939164663808,0,0,10,0,non-depressed,1
1418584634196217856,0,0,1,2,moderate,0.655
1418656195217223680,0,0,0,0,non-depressed,1
1418795712993632256,1,0,2,1,mild,0.659
1419105395730169856,0,0,2,1,mild,0.678
1419235124932194304,6,2,11,0,non-depressed,0.686
1419434788646129664,0,0,0,1,mild,1
1419438575569883136,4,0,45,0,non-depressed,1
1419495448059039488,4,1,32,0,non-depressed,0.667
1419657694013701888,0,0,0,0,non-depressed,0.651
1419821712351416320,0,0,0,2,moderate,0.682
1419913008424407040,1,0,7,0,non-depressed,0.667
1420010151042555904,1,2,4,0,non-depressed,1
1420076315508629504,5,4,23,3,severe,1
1420169432425541632,1,0,1,0,non-depressed,0.67
1420179049071132672,0,0,1,1,mild,0.674
1420202111393013504,0,0,1,0,non-depressed,1
1420420023496101888,1,0,1,0,non-depressed,0.667
1420460471682052096,8,11,167,0,non-depressed,1
1420633765651562496,1,0,0,0,non-depressed,0.667
1420726633988829184,1,0,0,0,non-depressed,0.679
1420764326806306816,8,6,78,0,non-depressed,0.674
1421121440485543936,0,0,3,0,non-depressed,1
1421344496122482688,0,1,1,2,moderate,0.67
1421476219124690688,1,0,0,0,non-depressed,1
1421565859265400832,1,0,0,3,severe,0.67
1421602679340551936,1,0,1,1,mild,0.667
1421810180816257024,6,0,10,0,non-depressed,1
1421894741336203264,2,3,8,0,non-depressed,1
1421912486677262336,0,0,2,1,mild,0.671
1422248730791661568,1,0,0,0,non-depressed,1
1422470555324665856,0,1,14,1,mild,0.663
1422620368800517888,0,0,5,0,non-depressed,1
1422744355207532288,0,0,0,3,severe,0.651
1422999261243920384,0,1,0,0,non-depressed,0.67
1423128763869528064,0,2,3,0,non-depressed,0.682
1423432058702082048,0,0,1,0,non-depressed,1
1423894664495644672,0,0,0,3,severe,1
1424218803022405632,1,0,10,0,non-depressed,0.67
1424353790023507968,0,0,0,0,non-depressed,1
1424358422544146432,0,1,0,0,non-depressed,1
1424382664916799488,0,0,3,0,non-depressed,1
1424521531665879040,0,1,0,0,non-depressed,0.663
1424522454815346688,0,0,1,1,mild,0.659
1424541695635451904,0,0,0,1,mild,0.682
1424731322849890304,1,0,0,0,non-depressed,1
1424732083851874304,1,0,1,0,non-depressed,1
1424850411169607680,0,0,0,0,non-depressed,0.663
1425158359225929728,1,0,1,0,non-depressed,1
1425210806459936768,23,3,119,2,moderate,0.655
1425508240390074368,1,1,0,2,moderate,0.67
1425524026198298624,0,0,0,2,moderate,0.659
1425527832407646208,0,0,1,1,mild,1
1425570775466131456,0,0,1,0,non-depressed,1
1426261587690757888,1,0,0,2,moderate,0.67
1426507247052496896,1,0,2,3,severe,0.663
1426594196765306880,0,0,0,1,mild,0.659
1426621480754810880,2,1,18,0,non-depressed,1
1426695843369914368,0,0,0,0,non-depressed,0.674
1426742012536033280,1,0,7,0,non-depressed,0.674
1426887676427448320,1,0,3,2,moderate,0.663
1427106365399605248,0,0,1,0,non-depressed,1
1427254235889082368,1,0,1,0,non-depressed,1
1428193544544546816,0,0,0,0,non-depressed,1
1428280670472843264,0,3,3,0,non-depressed,0.674
1428426498361413632,2,0,6,0,non-depressed,1
1428432699585437696,1,0,0,2,moderate,0.651
1428561873830563840,0,0,0,0,non-depressed,0.667
1429203436202074112,0,0,0,0,non-depressed,0.667
1429486705598476288,0,0,1,2,moderate,0.655
1429500135931711488,0,0,0,0,non-depressed,1
1429558366519664640,2,0,1,0,non-depressed,1
1429654778720686080,0,0,6,0,non-depressed,1
1429829540088487936,0,1,1,1,mild,0.674
1429919887812530176,0,0,37,1,mild,0.651
1430077758835597312,0,1,1,0,non-depressed,1
1430079918210174976,0,0,5,0,non-depressed,1
1430142158607208448,7,0,27,0,non-depressed,1
1430398846400536320,0,0,0,0,non-depressed,0.674
1430455308149825536,1,2,12,0,non-depressed,1
1430530279379283968,1,1,3,1,mild,0.67
1430672464875511808,0,1,0,2,moderate,0.667
1430744570652921856,0,0,1,0,non-depressed,1
1430970086425251840,1,1,6,1,mild,0.659
1430996831010439168,1,1,1,2,moderate,0.675
1431005439563419648,0,0,1,1,mild,0.651
1431078499364716288,1,0,0,0,non-depressed,0.667
1431427453403140096,1,1,2,1,mild,1
1431436861545893888,1,0,0,2,moderate,1
1431452852115984384,0,0,1,1,mild,0.674
1431673553045364736,1,0,0,0,non-depressed,0.663
1432034352796479488,0,10,24,0,non-depressed,0.667
1432108769778020352,0,0,0,1,mild,1
1432369302947127296,1,1,9,0,non-depressed,1
1432415512781332480,0,0,5,0,non-depressed,0.659
1432705289019604992,1,4,13,0,non-depressed,1
1432713370810126336,1,0,1,1,mild,0.663
1432801937171357696,1,0,6,0,non-depressed,1
1433043937527226368,0,0,1,0,non-depressed,1
1433065880213245952,0,0,0,3,severe,0.674
1433174182846664704,0,0,0,0,non-depressed,1
1433251715776663552,0,0,1,1,mild,0.667
1433454289486323712,0,0,0,0,non-depressed,0.682
1433466323418365952,1,0,1,0,non-depressed,1
1433521550091821056,0,0,1,0,non-depressed,1
1433582645108097024,0,0,0,0,non-depressed,0.69
1433729497707077632,0,0,2,0,non-depressed,1
1433746251300937728,1,0,2,1,mild,0.663
1433788888686886912,0,1,0,0,non-depressed,0.679
1433871067576246272,1,0,0,2,moderate,1
1433915933362429952,1,1,1,0,non-depressed,1
1433916737158742016,0,0,0,1,mild,0.663
1434173218743488512,2,2,6,1,mild,0.655
1434255784184107008,1,0,7,3,severe,1
1434277405812740096,0,0,0,1,mild,1
1434365193916669952,1,0,6,0,non-depressed,0.663
1434491433558417408,1,1,6,0,non-depressed,0.686
1434524705634066432,1,0,6,0,non-depressed,1
1434658507001942016,4,0,32,2,moderate,0.659
1434843848820158464,1,0,4,0,non-depressed,1
1434868787170340864,0,0,0,0,non-depressed,0.659
1434927523620528128,1,0,2,0,non-depressed,1
1434953867922341888,1,0,0,1,mild,1
1435011049179258880,0,0,0,0,non-depressed,0.667
1435053874759483136,0,0,0,2,moderate,0.659
1435067596613857280,0,0,16,0,non-depressed,0.667
1435085846772740096,1,1,8,0,non-depressed,0.67
1435127169378930688,1,1,1,0,non-depressed,1
1435149714320625664,0,0,2,0,non-depressed,0.659
1435194381955371008,1,0,1,0,non-depressed,1
1435304722156638208,0,1,0,2,moderate,0.659
1435428118865580032,0,1,0,2,moderate,0.663
1435595993727258624,0,1,5,2,moderate,0.655
1435629010902523904,2,0,2,0,non-depressed,1
1435649582126489600,1,0,1,0,non-depressed,1
1435742548652343296,1,0,1,0,non-depressed,0.69
1435785530650750720,2,0,15,0,non-depressed,1
1435802715867713536,0,1,8,0,non-depressed,0.667
1435913886901882880,0,1,0,0,non-depressed,0.667
1435996347425955840,1,1,4,0,non-depressed,0.67
1436054411349004288,1,0,3,0,non-depressed,0.667
1436152613221830656,1,4,31,0,non-depressed,1
1436310096129241088,1,0,3,0,non-depressed,0.67
1436334394957078528,0,0,1,1,mild,0.682
1436491860185255936,1,0,1,0,non-depressed,1
1436514310029811712,0,0,0,0,non-depressed,1
1436690686523285504,0,0,0,0,non-depressed,1
1436692457303863296,0,0,1,1,mild,0.663
1436695970683580416,1,0,0,0,non-depressed,1
1436713933503565824,0,0,1,0,non-depressed,1
1436725017790791680,0,0,1,1,mild,0.663
1436734695266476032,0,0,1,2,moderate,0.67
1436756596776972288,0,0,1,0,non-depressed,1
1436777497140600832,1,0,1,0,non-depressed,0.655
1436869696054193920,0,0,1,0,non-depressed,0.667
1436873916702765056,1,0,6,2,moderate,0.663
1436905164800200704,0,0,0,0,non-depressed,1
1436974178075176704,0,0,0,0,non-depressed,1
1437025355559104512,0,0,0,2,moderate,0.659
1437058401297739520,0,0,1,0,non-depressed,1
1437070396361035520,0,0,1,0,non-depressed,1
1437138261151977472,0,0,1,0,non-depressed,0.667
1437182830518448128,1,0,6,2,moderate,0.667
1437228966599970816,21,9,181,0,non-depressed,0.667
1437245586126905088,0,0,0,0,non-depressed,0.667
1437276278369841152,1,0,0,0,non-depressed,1
1437286177682436096,0,0,0,2,moderate,1
1437341087396515840,1,0,4,0,non-depressed,0.678
1437357652355526656,0,0,0,1,mild,0.655
1437391315948355584,0,0,5,0,non-depressed,1
1437392668506591232,1,0,1,0,non-depressed,1
1437468479746158592,0,0,0,0,non-depressed,0.667
1437476940122820608,0,0,2,2,moderate,1
1437504013239562240,1,0,52,1,mild,0.67
1437514281931710464,1,0,4,1,mild,0.663
1437541783773200384,0,0,0,1,mild,0.659
1437545795511676928,0,0,0,1,mild,0.667
1437546016635453440,0,0,0,1,mild,0.67
1437565838983372800,1,0,0,0,non-depressed,1
1437566065941360640,1,0,6,0,non-depressed,0.667
1437595458294193920,2,1,1,1,mild,1
1437599907075006464,0,0,0,1,mild,0.663
1437727447898853120,0,0,1,1,mild,0.675
1437745482646888448,0,0,3,0,non-depressed,1
1437763974444032000,3,0,3,2,moderate,0.667
1437771874218483712,1,0,0,0,non-depressed,1
1437781203873042432,0,1,1,1,mild,0.682
1437849021037547520,1,0,0,0,non-depressed,1
1437870646302756864,1,0,4,0,non-depressed,0.674
1437921094132961280,0,0,0,0,non-depressed,0.674
1437927151139950336,0,0,0,0,non-depressed,1
1437967108546179072,0,0,0,1,mild,1
1438045822982266880,0,0,2,0,non-depressed,0.67
1438068010342919936,2,0,0,0,non-depressed,1
1438208269391073280,0,0,10,1,mild,1
1438278012617830400,1,0,1,0,non-depressed,1
1438280809652367104,1,0,2,0,non-depressed,1
1438321190674870272,3,0,11,0,non-depressed,0.663
1438330581016883200,1,0,1,3,severe,0.667
1441776299731734528,0,0,2,1,mild,0.667
1438541567267049472,1,0,4,1,mild,0.659
1438585038019366912,0,0,0,0,non-depressed,1
1438615584581763072,0,0,0,1,mild,1
1438644380286414848,1,1,1,1,mild,0.667
1438649533789978624,1,0,2,1,mild,0.674
1438662827301031936,1,0,6,2,moderate,0.674
1438723498986414080,0,0,1,0,non-depressed,0.667
1438746100681383936,0,1,2,0,non-depressed,0.67
1438848153919307520,1,0,2,1,mild,1
1438862218108473088,1,0,3,0,non-depressed,1
1438936521525104640,1,0,1,0,non-depressed,1
1438962285129740288,0,0,2,0,non-depressed,0.674
1438969745198534656,3,0,10,1,mild,0.67
1439005876325535488,0,0,7,0,non-depressed,1
1439050586637233920,0,0,0,0,non-depressed,1
1439065043535077120,0,1,3,0,non-depressed,0.678
1439075584450170880,1,0,1,0,non-depressed,1
1439084881510735872,0,0,0,0,non-depressed,1
1441776299731734528,0,0,0,1,mild,1
1439214058880782336,1,0,0,0,non-depressed,1
1439220806979031040,0,0,0,2,moderate,0.667
1439267707539632128,1,0,0,2,moderate,1
1439287871073050624,0,0,1,0,non-depressed,0.663
1439309878493913088,0,0,0,0,non-depressed,1
1439340681785401088,0,0,1,0,non-depressed,0.674
1439448492661948416,0,0,0,2,moderate,1
1439466101864222720,0,0,0,1,mild,0.667
1439613421566115840,1,0,0,0,non-depressed,0.674
1439624647432187904,2,2,21,3,severe,1
1439647907301498880,0,0,2,1,mild,0.682
1439652117409673216,0,0,0,0,non-depressed,0.663
1439653378280337408,1,0,1,0,non-depressed,0.67
1439673892398850048,0,0,5,0,non-depressed,1
1439692934451015680,0,0,0,0,non-depressed,0.667
1439776274881339392,0,0,1,0,non-depressed,1
1439780869821063168,0,0,1,0,non-depressed,0.674
1439789255312609280,1,0,0,0,non-depressed,1
1439906840398159872,0,0,0,0,non-depressed,1
1439987718008684288,0,0,1,0,non-depressed,1
1440013338855948288,0,0,0,0,non-depressed,1
1440042438974791680,0,0,1,2,moderate,0.667
1440061765946015488,1,0,4,3,severe,0.655
1440082110937657088,0,1,1,0,non-depressed,1
1440090429723185152,1,0,1,2,moderate,0.671
1440096465569959936,1,0,2,2,moderate,0.674
1440136738127634432,0,0,3,0,non-depressed,1
1440152179898085120,0,0,0,1,mild,1
1440197164978765824,0,0,1,0,non-depressed,1
1440302359888814080,0,0,2,0,non-depressed,1
1440307033463427072,0,0,1,1,mild,0.655
1440385977281744896,1,0,1,0,non-depressed,1
1440422868752338688,0,0,0,0,non-depressed,1
1440434101224230912,0,0,3,0,non-depressed,0.674
1440543781590224896,0,0,0,1,mild,0.67
1440658411603972096,0,0,1,0,non-depressed,1
1440665676620857088,1,0,1,1,mild,0.678
1440666844675784704,0,0,0,1,mild,0.674
1440702156823154688,1,0,0,0,non-depressed,1
1440766072613789696,1,0,0,3,severe,0.678
1440772051246063616,5,4,116,0,non-depressed,0.682
1440822047672713216,1,0,0,2,moderate,0.663
1440828077290913536,0,0,0,0,non-depressed,0.674
1440907593812111360,1,4,17,0,non-depressed,1
1440993468604616704,3,11,170,0,non-depressed,1
1440994781618868224,0,0,2,1,mild,0.655
1441029638000680704,0,0,0,1,mild,1
1441060963747249920,0,0,3,0,non-depressed,1
1441064198679654400,0,0,0,0,non-depressed,1
1441143673962389504,0,0,0,1,mild,0.663
1441153833258737664,2,1,2,1,mild,0.667
1441160915706019840,1,0,0,2,moderate,1
1441169842439032832,0,0,0,1,mild,0.67
1441182304668372736,1,0,1,0,non-depressed,1
1441198002580992000,0,0,0,0,non-depressed,0.67
1441231357632335872,0,0,0,1,mild,0.682
1441274556430249984,1,0,1,1,mild,0.674
1441286049930432512,0,0,0,1,mild,0.655
1441288138551271424,0,0,1,1,mild,0.69
1441340341861289984,1,0,0,2,moderate,1
1441394195571355648,0,0,1,0,non-depressed,0.678
1441399679577518080,3,0,1,2,moderate,0.655
1441401945533476864,1,0,2,0,non-depressed,0.67
1441406852730789888,0,0,16,0,non-depressed,1
1441428527233048320,0,0,3,1,mild,0.663
1441483418936750080,1,0,3,0,non-depressed,1
1441485686616461312,1,0,3,0,non-depressed,1
1441489263099584512,0,1,6,0,non-depressed,0.663
1441510195964768256,0,0,7,2,moderate,0.674
1441510930639032320,1,0,0,0,non-depressed,1
1441521910999916288,1,0,16,0,non-depressed,1
1441530899313487872,0,1,0,1,mild,1
1441610328328982528,0,0,8,0,non-depressed,0.674
1441617249068933120,0,0,1,0,non-depressed,1
1441639275838066688,1,0,50,0,non-depressed,0.67
1441642117936320512,0,1,0,0,non-depressed,0.663
1441642117936320512,0,0,2,0,non-depressed,0.674
1441712993922809856,0,0,0,1,mild,0.667
1441714440995434496,0,0,2,0,non-depressed,1
1441721166406750208,0,2,3,0,non-depressed,1
1441757496696139520,1,0,1,0,non-depressed,0.679
1441760398659686400,0,0,2,1,mild,0.667
1441777054370828288,1,2,5,0,non-depressed,1
1441781536454430720,0,0,0,0,non-depressed,0.663
1441787868272336896,1,0,0,1,mild,0.659
1441800243918561280,0,0,0,0,non-depressed,1
1441832109027459072,0,0,0,0,non-depressed,1
1441872617028288512,4,5,12,0,non-depressed,1
1441895002083405824,0,0,0,0,non-depressed,1
1441904415485554688,0,0,0,0,non-depressed,1
1441921829753524224,1,1,15,0,non-depressed,0.686
1441932909716250624,1,0,1,0,non-depressed,1
1441948065997357056,0,0,0,0,non-depressed,1
1441991233291886336,0,0,0,1,mild,0.667
1442020894293913600,1,0,1,1,mild,1
1442051610767605504,1,0,0,0,non-depressed,1
1442057142224232448,0,0,1,0,non-depressed,1
1442059708848869120,0,0,0,0,non-depressed,0.663
1442067170004021248,0,0,0,0,non-depressed,1
1442088423066521600,0,0,0,0,non-depressed,0.686
1442105188488187904,1,0,2,0,non-depressed,1
1442126788776235008,2,0,1,2,moderate,1
1442131900018003968,0,2,0,0,non-depressed,0.663
1442147051454668800,0,0,0,1,mild,0.667
1442172950644342784,0,0,0,0,non-depressed,0.659
1442181631167635456,0,0,0,2,moderate,0.655
1442202222050349056,0,0,2,3,severe,1
1442218263312683008,1,0,1,1,mild,1
1442242234368217088,0,0,1,0,non-depressed,0.667
1442251960657190912,1,0,0,0,non-depressed,0.663
1442268396352114688,0,0,3,0,non-depressed,1
1442284517214072832,0,0,2,0,non-depressed,0.667
1442292514153771008,0,0,0,1,mild,0.674
1442297511247556608,0,0,0,0,non-depressed,0.663
1442308123797037056,0,0,1,0,non-depressed,1
1442321469803925504,0,0,2,0,non-depressed,0.67
1442373235815895040,0,0,0,1,mild,1
1442408161764380672,0,0,1,0,non-depressed,0.659
1442429893115998208,1,0,9,0,non-depressed,1
1442432658953355264,1,0,0,1,mild,0.667
1442501328446517248,1,0,3,0,non-depressed,0.667
1442516301746880512,4,0,4,1,mild,0.674
1442525665371230208,1,0,2,1,mild,0.674
1435913886901882880,0,0,0,0,non-depressed,0.667
1442540400984526848,1,1,8,0,non-depressed,1
1442571408094208000,0,0,0,1,mild,0.674
1442581728271372288,1,0,1,0,non-depressed,1
1442587712968593408,1,0,1,2,moderate,0.663
1442611188475432704,1,1,2,1,mild,0.686
1442635796557697024,0,0,0,0,non-depressed,0.686
1442653557065277440,0,0,1,0,non-depressed,1
1442685099657494528,0,0,5,1,mild,0.663
1442689392791916288,1,0,1,0,non-depressed,0.667
1442705573493940224,0,0,2,0,non-depressed,1
1442731179401175040,0,1,2,2,moderate,0.663
1442780521373765632,1,0,0,0,non-depressed,0.674
1442787141906538496,1,0,1,3,severe,0.667
1442809662764564480,1,0,1,0,non-depressed,0.674
1442815008145125120,0,0,0,2,moderate,0.67
1442838170983403520,1,0,0,0,non-depressed,1
1442844367866277888,0,0,0,0,non-depressed,1
1441776299731734528,0,0,1,0,non-depressed,0.667
1442870108406173696,2,0,3,0,non-depressed,0.659
1442871288377208832,1,0,1,0,non-depressed,1
1442876934182952704,0,0,0,0,non-depressed,1
1442886605358833664,0,0,0,0,non-depressed,0.686
1442894103641935872,0,0,6,0,non-depressed,1
1442899269254451200,1,0,0,0,non-depressed,1
1442908255408181248,0,0,1,1,mild,0.667
1442911480354017280,1,0,27,0,non-depressed,0.667
1442926442149339136,1,0,71,0,non-depressed,0.679
1442929920858996736,0,0,14,0,non-depressed,1
1442938048686157824,4,0,23,0,non-depressed,0.69
1442964044609044480,0,0,2,1,mild,0.67
1442970376514912256,0,0,0,0,non-depressed,0.674
1442973924149501952,1,1,3,0,non-depressed,0.674
1442981689932894208,3,0,3,0,non-depressed,1
1442988553047195648,1,0,3,0,non-depressed,1
1443010039745335296,0,0,12,1,mild,0.67
1443034377580171264,1,0,1,0,non-depressed,1
1443072171291684864,0,0,0,0,non-depressed,0.667
1443077298211729408,0,0,0,0,non-depressed,0.667
1443079216786915328,0,0,8,2,moderate,0.663
1443094304092823552,0,1,7,0,non-depressed,0.674
1443100572924665856,1,0,0,0,non-depressed,0.67
1443107487897505536,0,0,0,0,non-depressed,1
1443140053488787456,0,0,1,0,non-depressed,1
1443147907897638912,0,0,0,2,moderate,0.651
1443172645231636480,0,2,7,0,non-depressed,0.67
1443177579108651008,0,5,2,2,moderate,0.655
1445415117747798016,0,0,1,1,mild,0.659
1443196478990790656,1,0,0,1,mild,0.682
1443216172128874496,0,0,0,1,mild,1
1443231733294505984,0,1,6,0,non-depressed,0.69
1443232832172724224,1,0,0,1,mild,0.678
1443233683348115456,0,0,0,1,mild,0.651
1443234581461684224,1,1,1,0,non-depressed,1
1443248995007143936,0,0,2,0,non-depressed,0.671
1443259650607099904,0,0,1,0,non-depressed,1
1443264944745504768,0,0,0,1,mild,1
1443289577339473920,1,0,1,1,mild,0.655
1443289759774871552,0,0,0,2,moderate,1
1443300048696119296,0,1,3,0,non-depressed,1
1443301046697275392,1,0,1,0,non-depressed,1
1443303177625997312,0,0,2,2,moderate,0.67
1443355759325204480,1,0,0,0,non-depressed,0.67
1443356566577729536,0,0,0,1,mild,0.663
1443366711261073408,1,0,2,0,non-depressed,0.675
1443382111092805632,3,0,8,1,mild,1
1443387914877030400,0,0,0,0,non-depressed,0.674
1443390432147382272,0,0,1,2,moderate,0.659
1443395328519069696,1,0,1,0,non-depressed,0.655
